time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.441042560339406e-08,5.102936791419812e-07,10.000291297242471,0.0004837092221707806,6.28310777929169,0.0,4.797430087157066e-06,4.1592733089768304e-05,0.009709755306017531,0.02063682178943134,-0.004010638345531663,0.0,408.1354467831191,407.7774284827159,405.61305776235434,407.46175516791203
0.12000000000000001,3.1926194864027276e-06,2.4085240672487626e-05,10.011471229015125,0.0022659795665580518,6.0581970988238254e-05,0.0,0.00010407608877190656,0.0009609823712489281,0.3629096720171432,0.043486644854469604,0.012622185240446716,0.0,509.81665668758103,511.00346339848414,510.7155958528728,512.3426100168346
0.18,5.268909151459514e-06,0.00013907767660912938,10.036458746819715,0.004812267876326715,0.0007865810666292106,0.0,-0.00011131286190992862,0.0031377307450751162,0.4699681727174735,0.040254697780937966,0.011034598150822887,0.0,438.9532365961661,438.82137159993937,439.82850449216176,439.56179891442804
0.23999999999999996,-2.3310199934630065e-05,0.0004509602027215167,10.070491148877531,0.0072913762145176975,0.0018589149777064051,0.0,-0.0009449000377169475,0.007541787825342667,0.6643503103901964,0.043364847337771885,0.028890031549522636,0.0,466.2440403337885,467.63668502522523,465.233558877662,465.47779680472524
0.3,-0.00012824377919165897,0.0010737955672357393,10.114513393824314,0.010438007007867789,0.004109489856114479,0.0,-0.002771576721850837,0.013533021635457021,0.802967077477509,0.06623690606786072,0.050759660063058105,0.0,448.1371207798394,449.91164010186316,448.983172481635,450.83640319738817
0.36000000000000004,-0.00040114032183707183,0.0021403411074744478,10.167804080903702,0.014534035818269508,0.007326017267783591,0.0,-0.0066769475199196585,0.022470911180080225,0.9732521250187274,0.07204456655738112,0.05877026308365976,0.0,458.99161238436346,459.62861418093485,459.16492104511536,459.62870299435104
0.4200000000000001,-0.0009692917332106313,0.0038105679474907,10.229527569582043,0.019003445101982486,0.01042721311840289,0.0,-0.012610577862790098,0.03365760012820018,1.0840880952955088,0.07897807704389427,0.031184039809433642,0.0,443.0197770435604,440.7475910361938,440.4847131192957,441.0620265600134
0.48000000000000015,-0.0019512723395559723,0.006244840893588099,10.297778718044151,0.023373212816158784,0.012730084333757219,0.0,-0.020338964088247445,0.04795615968276439,1.190832154773122,0.056227107516882445,0.0498644787144762,0.0,439.3683894899819,440.9149378816963,441.3663425606078,439.4888882244772
0.5400000000000001,-0.0034560451195727545,0.009634471349552398,10.372914251497958,0.026375600730789373,0.016326623016711395,0.0,-0.030171029059272575,0.06536860335355096,1.3135384957972709,0.03328373909510926,0.07487722013165424,0.0,444.3772361372161,446.42505951490153,446.645291697621,444.771870013296
0.6000000000000002,-0.005598873836241556,0.014074398750135957,10.453424887745532,0.028425340267159704,0.021107620338090882,0.0,-0.041700084076084845,0.08282019779443321,1.370068971932186,0.03586366250001933,0.08788093689847273,0.0,423.5102437018094,424.6324978076372,425.29624414330806,425.5176746198656
0.6600000000000003,-0.008547837502396603,0.019627593611625926,10.538200323594173,0.031218116194566825,0.026308072199872967,0.0,-0.05711966697604685,0.10253525063431737,1.4556527910565238,0.062148605519673654,0.0841461802371962,0.0,434.48773172144865,434.1809300195305,433.22557057186225,435.43110905183147
0.7200000000000003,-0.012528782149904228,0.026427580983155983,10.628177962500345,0.035124547696530506,0.031717093922161155,0.0,-0.07610164945632775,0.12450953717895316,1.5434578100571876,0.07044770721840361,0.10004483801639354,0.0,433.621773374551,434.9620812833742,436.0168932790716,436.71281611394636
0.7800000000000004,-0.017943434980901757,0.03482559440308102,10.728950747358182,0.03938213312101979,0.037658127288509924,0.0,-0.105135331953491,0.1559491778986244,1.8151947961647141,0.07196415481393201,0.09688018717381015,0.0,491.30097594853606,491.07371113182995,490.62570590725636,490.7416125902063
0.8400000000000004,-0.02507765404675604,0.04503846459770744,10.841503655766292,0.04337920665886674,0.04340658447546186,0.0,-0.13327254784797393,0.18491034672703988,1.9363244777287032,0.05290430422642825,0.09357301934031025,0.0,446.9402541980466,446.67841492068357,448.23127332961093,446.6829273582717
0.9000000000000005,-0.03404003586811843,0.057087341375179755,10.961724371473093,0.04660046129859996,0.04874025802685367,0.0,-0.16605222493082436,0.21704874864236487,2.070750545620508,0.05520925906230997,0.0773526198038908,0.0,451.452044005832,450.14779701988516,452.66698616257094,452.85426561397657
0.9600000000000005,-0.044781030963850055,0.07084938287776754,11.083960251995943,0.05030960842178889,0.05335378088434428,0.0,-0.19234533673511062,0.24196282683801895,2.0038621948549378,0.07253268375911595,0.0759551901545717,0.0,385.8868708351317,385.76060684691726,383.99533669448425,385.6384311659507
1.0200000000000005,-0.05751207526028321,0.08648701917497535,11.208439554935683,0.05470743803982536,0.05798527691457522,0.0,-0.2325066364582134,0.279748454248494,2.145131561975006,0.07478307233318114,0.07955500663571292,0.0,453.82134550245365,454.1147679539442,454.63966513933417,454.823966087544
1.0800000000000005,-0.07264628422227568,0.1043849361190308,11.33952972249627,0.05881751360935805,0.06310283277355389,0.0,-0.2724503189155565,0.31726620128877,2.2243246915831802,0.051382181567125464,0.09481935648998115,0.0,435.146366665406,436.42828719989114,436.2977567189336,434.3431967179853
1.1400000000000006,-0.09056585797641209,0.12487130759202786,11.47975159200451,0.06175347739124959,0.06896604527699512,0.0,-0.3255373848851979,0.3659430063005611,2.449198839888847,0.043520547452016646,0.10296481695852225,0.0,480.3645225589677,480.9891419152266,480.56884730102985,479.97387670867465
